repo,language,stars,license,snapshot_date
public-apis/public-apis,Python,395350,MIT,2026-02-05
EbookFoundation/free-programming-books,Python,382148,CC-BY-4.0,2026-02-05
donnemartin/system-design-primer,Python,334486,NOASSERTION,2026-02-05
vinta/awesome-python,Python,281540,NOASSERTION,2026-02-05
TheAlgorithms/Python,Python,217493,MIT,2026-02-05
Significant-Gravitas/AutoGPT,Python,181700,NOASSERTION,2026-02-05
AUTOMATIC1111/stable-diffusion-webui,Python,160432,AGPL-3.0,2026-02-05
huggingface/transformers,Python,156171,Apache-2.0,2026-02-05
yt-dlp/yt-dlp,Python,145897,Unlicense,2026-02-05
langflow-ai/langflow,Python,144604,MIT,2026-02-05
521xueweihan/HelloGitHub,Python,142246,None,2026-02-05
ytdl-org/youtube-dl,Python,139658,Unlicense,2026-02-05
langchain-ai/langchain,Python,126022,MIT,2026-02-05
open-webui/open-webui,Python,123008,NOASSERTION,2026-02-05
Comfy-Org/ComfyUI,Python,102528,GPL-3.0,2026-02-05
deepseek-ai/DeepSeek-V3,Python,101455,MIT,2026-02-05
pytorch/pytorch,Python,97176,NOASSERTION,2026-02-05
nvbn/thefuck,Python,95406,MIT,2026-02-05
fastapi/fastapi,Python,94824,MIT,2026-02-05
openai/whisper,Python,94203,MIT,2026-02-05
Shubhamsaboo/awesome-llm-apps,Python,92220,Apache-2.0,2026-02-05
django/django,Python,86687,BSD-3-Clause,2026-02-05
microsoft/markitdown,Python,86447,MIT,2026-02-05
home-assistant/core,Python,84609,Apache-2.0,2026-02-05
3b1b/manim,Python,84295,MIT,2026-02-05
bregman-arie/devops-exercises,Python,80865,NOASSERTION,2026-02-05
hacksider/Deep-Live-Cam,Python,79245,AGPL-3.0,2026-02-05
fighting41love/funNLP,Python,78853,None,2026-02-05
browser-use/browser-use,Python,77837,MIT,2026-02-05
tensorflow/models,Python,77687,NOASSERTION,2026-02-05
d2l-ai/d2l-zh,Python,75453,Apache-2.0,2026-02-05
swisskyrepo/PayloadsAllTheThings,Python,74946,MIT,2026-02-05
infiniflow/ragflow,Python,72827,Apache-2.0,2026-02-05
sherlock-project/sherlock,Python,72459,MIT,2026-02-05
josephmisiti/awesome-machine-learning,Python,71592,NOASSERTION,2026-02-05
python/cpython,Python,71366,NOASSERTION,2026-02-05
pallets/flask,Python,71138,BSD-3-Clause,2026-02-05
PaddlePaddle/PaddleOCR,Python,70246,Apache-2.0,2026-02-05
binary-husky/gpt_academic,Python,70085,GPL-3.0,2026-02-05
vllm-project/vllm,Python,69570,Apache-2.0,2026-02-05
ansible/ansible,Python,67899,GPL-3.0,2026-02-05
github/spec-kit,Python,67762,MIT,2026-02-05
OpenHands/OpenHands,Python,67515,NOASSERTION,2026-02-05
hiyouga/LlamaFactory,Python,66928,Apache-2.0,2026-02-05
xtekky/gpt4free,Python,65721,GPL-3.0,2026-02-05
labmlai/annotated_deep_learning_paper_implementations,Python,65645,MIT,2026-02-05
scikit-learn/scikit-learn,Python,64914,BSD-3-Clause,2026-02-05
localstack/localstack,Python,64294,NOASSERTION,2026-02-05
FoundationAgents/MetaGPT,Python,63916,MIT,2026-02-05
keras-team/keras,Python,63755,Apache-2.0,2026-02-05
anthropics/skills,Python,63728,None,2026-02-05
openinterpreter/open-interpreter,Python,62010,AGPL-3.0,2026-02-05
commaai/openpilot,Python,59998,MIT,2026-02-05
OpenBB-finance/OpenBB,Python,59862,NOASSERTION,2026-02-05
scrapy/scrapy,Python,59658,BSD-3-Clause,2026-02-05
unclecode/crawl4ai,Python,59492,Apache-2.0,2026-02-05
CorentinJ/Real-Time-Voice-Cloning,Python,59307,NOASSERTION,2026-02-05
pathwaycom/pathway,Python,59281,NOASSERTION,2026-02-05
meta-llama/llama,Python,59115,NOASSERTION,2026-02-05
Asabeneh/30-Days-Of-Python,Python,57287,None,2026-02-05
zylon-ai/private-gpt,Python,57103,Apache-2.0,2026-02-05
ultralytics/yolov5,Python,56788,AGPL-3.0,2026-02-05
soimort/you-get,Python,56718,NOASSERTION,2026-02-05
ageitgey/face_recognition,Python,56093,MIT,2026-02-05
Textualize/rich,Python,55357,MIT,2026-02-05
AntonOsika/gpt-engineer,Python,55207,MIT,2026-02-05
deepfakes/faceswap,Python,54943,GPL-3.0,2026-02-05
Z4nzu/hackingtool,Python,54880,MIT,2026-02-05
RVC-Boss/GPT-SoVITS,Python,54746,MIT,2026-02-05
microsoft/autogen,Python,54304,CC-BY-4.0,2026-02-05
FoundationAgents/OpenManus,Python,54237,MIT,2026-02-05
opendatalab/MinerU,Python,53839,AGPL-3.0,2026-02-05
psf/requests,Python,53712,Apache-2.0,2026-02-05
ultralytics/ultralytics,Python,52967,AGPL-3.0,2026-02-05
karpathy/nanoGPT,Python,52647,MIT,2026-02-05
docling-project/docling,Python,52184,MIT,2026-02-05
unslothai/unsloth,Python,51632,Apache-2.0,2026-02-05
xai-org/grok-1,Python,51461,Apache-2.0,2026-02-05
Zie619/n8n-workflows,Python,50928,MIT,2026-02-05
charlax/professional-programming,Python,50339,MIT,2026-02-05
harry0703/MoneyPrinterTurbo,Python,49366,MIT,2026-02-05
odoo/odoo,Python,48857,NOASSERTION,2026-02-05
pandas-dev/pandas,Python,47794,BSD-3-Clause,2026-02-05
lllyasviel/Fooocus,Python,47663,GPL-3.0,2026-02-05
minimaxir/big-list-of-naughty-strings,Python,47579,MIT,2026-02-05
run-llama/llama_index,Python,46822,MIT,2026-02-05
mem0ai/mem0,Python,46652,Apache-2.0,2026-02-05
freqtrade/freqtrade,Python,46515,GPL-3.0,2026-02-05
oobabooga/text-generation-webui,Python,46006,AGPL-3.0,2026-02-05
virattt/ai-hedge-fund,Python,45614,None,2026-02-05
sansan0/TrendRadar,Python,45551,GPL-3.0,2026-02-05
coqui-ai/TTS,Python,44459,MPL-2.0,2026-02-05
apache/airflow,Python,44145,Apache-2.0,2026-02-05
crewAIInc/crewAI,Python,43655,MIT,2026-02-05
NanmiCoder/MediaCrawler,Python,43641,NOASSERTION,2026-02-05
streamlit/streamlit,Python,43353,Apache-2.0,2026-02-05
SimplifyJobs/Summer2026-Internships,Python,43310,None,2026-02-05
getsentry/sentry,Python,43089,NOASSERTION,2026-02-05
faif/python-patterns,Python,42727,None,2026-02-05
karpathy/nanochat,Python,42304,MIT,2026-02-05
facebook/react,JavaScript,242808,MIT,2026-02-05
trekhleb/javascript-algorithms,JavaScript,195517,MIT,2026-02-05
airbnb/javascript,JavaScript,148095,MIT,2026-02-05
vercel/next.js,JavaScript,137526,MIT,2026-02-05
Chalarangelo/30-seconds-of-code,JavaScript,126678,CC-BY-4.0,2026-02-05
nodejs/node,JavaScript,115563,NOASSERTION,2026-02-05
mrdoob/three.js,JavaScript,110722,MIT,2026-02-05
axios/axios,JavaScript,108566,MIT,2026-02-05
facebook/create-react-app,JavaScript,103955,MIT,2026-02-05
jaywcjlove/awesome-mac,JavaScript,98497,CC0-1.0,2026-02-05
mui/material-ui,JavaScript,97766,MIT,2026-02-05
microsoft/Web-Dev-For-Beginners,JavaScript,95235,MIT,2026-02-05
ryanmcdermott/clean-code-javascript,JavaScript,94293,MIT,2026-02-05
sveltejs/svelte,JavaScript,85689,MIT,2026-02-05
louislam/uptime-kuma,JavaScript,82392,MIT,2026-02-05
anuraghazra/github-readme-stats,JavaScript,78222,MIT,2026-02-05
FortAwesome/Font-Awesome,JavaScript,76299,NOASSERTION,2026-02-05
typicode/json-server,JavaScript,75626,NOASSERTION,2026-02-05
hakimel/reveal.js,JavaScript,70515,MIT,2026-02-05
expressjs/express,JavaScript,68665,MIT,2026-02-05
chartjs/Chart.js,JavaScript,67100,MIT,2026-02-05
