repo,language,stars,license,snapshot_date
public-apis/public-apis,Python,395532,MIT,2026-02-06
EbookFoundation/free-programming-books,Python,382161,CC-BY-4.0,2026-02-06
donnemartin/system-design-primer,Python,334529,NOASSERTION,2026-02-06
vinta/awesome-python,Python,281660,NOASSERTION,2026-02-06
TheAlgorithms/Python,Python,217482,MIT,2026-02-06
Significant-Gravitas/AutoGPT,Python,181677,NOASSERTION,2026-02-06
AUTOMATIC1111/stable-diffusion-webui,Python,160426,AGPL-3.0,2026-02-06
huggingface/transformers,Python,156154,Apache-2.0,2026-02-06
yt-dlp/yt-dlp,Python,146018,Unlicense,2026-02-06
langflow-ai/langflow,Python,144601,MIT,2026-02-06
521xueweihan/HelloGitHub,Python,142345,NOASSERTION,2026-02-06
ytdl-org/youtube-dl,Python,139621,Unlicense,2026-02-06
langchain-ai/langchain,Python,126090,MIT,2026-02-06
open-webui/open-webui,Python,123131,NOASSERTION,2026-02-06
Comfy-Org/ComfyUI,Python,102623,GPL-3.0,2026-02-06
deepseek-ai/DeepSeek-V3,Python,101465,MIT,2026-02-06
pytorch/pytorch,Python,97198,NOASSERTION,2026-02-06
nvbn/thefuck,Python,95409,MIT,2026-02-06
fastapi/fastapi,Python,94851,MIT,2026-02-06
openai/whisper,Python,94264,MIT,2026-02-06
Shubhamsaboo/awesome-llm-apps,Python,92389,Apache-2.0,2026-02-06
django/django,Python,86695,BSD-3-Clause,2026-02-06
microsoft/markitdown,Python,86523,MIT,2026-02-06
home-assistant/core,Python,84634,Apache-2.0,2026-02-06
3b1b/manim,Python,84315,MIT,2026-02-06
bregman-arie/devops-exercises,Python,80874,NOASSERTION,2026-02-06
hacksider/Deep-Live-Cam,Python,79259,AGPL-3.0,2026-02-06
fighting41love/funNLP,Python,78863,NOASSERTION,2026-02-06
browser-use/browser-use,Python,77916,MIT,2026-02-06
tensorflow/models,Python,77690,NOASSERTION,2026-02-06
d2l-ai/d2l-zh,Python,75479,Apache-2.0,2026-02-06
swisskyrepo/PayloadsAllTheThings,Python,74978,MIT,2026-02-06
infiniflow/ragflow,Python,72895,Apache-2.0,2026-02-06
sherlock-project/sherlock,Python,72490,MIT,2026-02-06
josephmisiti/awesome-machine-learning,Python,71600,NOASSERTION,2026-02-06
python/cpython,Python,71386,NOASSERTION,2026-02-06
pallets/flask,Python,71139,BSD-3-Clause,2026-02-06
PaddlePaddle/PaddleOCR,Python,70314,Apache-2.0,2026-02-06
binary-husky/gpt_academic,Python,70090,GPL-3.0,2026-02-06
vllm-project/vllm,Python,69645,Apache-2.0,2026-02-06
github/spec-kit,Python,68006,MIT,2026-02-06
ansible/ansible,Python,67913,GPL-3.0,2026-02-06
OpenHands/OpenHands,Python,67553,NOASSERTION,2026-02-06
hiyouga/LlamaFactory,Python,66978,Apache-2.0,2026-02-06
