repo,language,stars,license,snapshot_date
public-apis/public-apis,Python,395491,MIT,2026-02-06
EbookFoundation/free-programming-books,Python,382159,CC-BY-4.0,2026-02-06
donnemartin/system-design-primer,Python,334528,NOASSERTION,2026-02-06
vinta/awesome-python,Python,281656,NOASSERTION,2026-02-06
TheAlgorithms/Python,Python,217480,MIT,2026-02-06
Significant-Gravitas/AutoGPT,Python,181677,NOASSERTION,2026-02-06
AUTOMATIC1111/stable-diffusion-webui,Python,160424,AGPL-3.0,2026-02-06
huggingface/transformers,Python,156156,Apache-2.0,2026-02-06
yt-dlp/yt-dlp,Python,146010,Unlicense,2026-02-06
langflow-ai/langflow,Python,144599,MIT,2026-02-06
521xueweihan/HelloGitHub,Python,142334,NOASSERTION,2026-02-06
ytdl-org/youtube-dl,Python,139623,Unlicense,2026-02-06
langchain-ai/langchain,Python,126091,MIT,2026-02-06
open-webui/open-webui,Python,123127,NOASSERTION,2026-02-06
Comfy-Org/ComfyUI,Python,102616,GPL-3.0,2026-02-06
deepseek-ai/DeepSeek-V3,Python,101465,MIT,2026-02-06
pytorch/pytorch,Python,97195,NOASSERTION,2026-02-06
nvbn/thefuck,Python,95410,MIT,2026-02-06
fastapi/fastapi,Python,94848,MIT,2026-02-06
openai/whisper,Python,94259,MIT,2026-02-06
Shubhamsaboo/awesome-llm-apps,Python,92377,Apache-2.0,2026-02-06
django/django,Python,86695,BSD-3-Clause,2026-02-06
microsoft/markitdown,Python,86517,MIT,2026-02-06
home-assistant/core,Python,84632,Apache-2.0,2026-02-06
3b1b/manim,Python,84313,MIT,2026-02-06
bregman-arie/devops-exercises,Python,80873,NOASSERTION,2026-02-06
hacksider/Deep-Live-Cam,Python,79256,AGPL-3.0,2026-02-06
fighting41love/funNLP,Python,78863,NOASSERTION,2026-02-06
browser-use/browser-use,Python,77910,MIT,2026-02-06
tensorflow/models,Python,77690,NOASSERTION,2026-02-06
d2l-ai/d2l-zh,Python,75478,Apache-2.0,2026-02-06
swisskyrepo/PayloadsAllTheThings,Python,74975,MIT,2026-02-06
infiniflow/ragflow,Python,72890,Apache-2.0,2026-02-06
sherlock-project/sherlock,Python,72487,MIT,2026-02-06
josephmisiti/awesome-machine-learning,Python,71600,NOASSERTION,2026-02-06
python/cpython,Python,71382,NOASSERTION,2026-02-06
pallets/flask,Python,71139,BSD-3-Clause,2026-02-06
PaddlePaddle/PaddleOCR,Python,70311,Apache-2.0,2026-02-06
binary-husky/gpt_academic,Python,70091,GPL-3.0,2026-02-06
vllm-project/vllm,Python,69642,Apache-2.0,2026-02-06
github/spec-kit,Python,67997,MIT,2026-02-06
ansible/ansible,Python,67913,GPL-3.0,2026-02-06
OpenHands/OpenHands,Python,67551,NOASSERTION,2026-02-06
hiyouga/LlamaFactory,Python,66977,Apache-2.0,2026-02-06
xtekky/gpt4free,Python,65718,GPL-3.0,2026-02-06
labmlai/annotated_deep_learning_paper_implementations,Python,65656,MIT,2026-02-06
scikit-learn/scikit-learn,Python,64930,BSD-3-Clause,2026-02-06
anthropics/skills,Python,64527,NOASSERTION,2026-02-06
localstack/localstack,Python,64304,NOASSERTION,2026-02-06
FoundationAgents/MetaGPT,Python,63944,MIT,2026-02-06
keras-team/keras,Python,63754,Apache-2.0,2026-02-06
openinterpreter/open-interpreter,Python,62032,AGPL-3.0,2026-02-06
commaai/openpilot,Python,60012,MIT,2026-02-06
OpenBB-finance/OpenBB,Python,59900,NOASSERTION,2026-02-06
scrapy/scrapy,Python,59661,BSD-3-Clause,2026-02-06
unclecode/crawl4ai,Python,59525,Apache-2.0,2026-02-06
