repo,html_url,stars,language
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,464388,Markdown
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,436875,TypeScript
sindresorhus/awesome,https://github.com/sindresorhus/awesome,435832,
public-apis/public-apis,https://github.com/public-apis/public-apis,396053,Python
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,382228,Python
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,348695,TypeScript
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,336853,
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,334657,Python
vinta/awesome-python,https://github.com/vinta/awesome-python,281866,Python
996icu/996.ICU,https://github.com/996icu/996.ICU,275454,
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,272133,
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,257827,
facebook/react,https://github.com/facebook/react,242851,JavaScript
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,217523,Python
torvalds/linux,https://github.com/torvalds/linux,216563,C
vuejs/vue,https://github.com/vuejs/vue,209902,TypeScript
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,205505,
ossu/computer-science,https://github.com/ossu/computer-science,201075,HTML
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,195527,JavaScript
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,193648,C++
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,184556,Shell
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184372,
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,183625,
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,181707,Python
microsoft/vscode,https://github.com/microsoft/vscode,181501,TypeScript
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,178555,Jupyter Notebook
flutter/flutter,https://github.com/flutter/flutter,174996,Dart
twbs/bootstrap,https://github.com/twbs/bootstrap,173977,MDX
openclaw/openclaw,https://github.com/openclaw/openclaw,173923,TypeScript
n8n-io/n8n,https://github.com/n8n-io/n8n,173498,TypeScript
github/gitignore,https://github.com/github/gitignore,172307,
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,165235,Batchfile
avelino/awesome-go,https://github.com/avelino/awesome-go,164516,Go
ollama/ollama,https://github.com/ollama/ollama,162069,Go
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,160433,Python
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,159772,
huggingface/transformers,https://github.com/huggingface/transformers,156200,Python
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,153761,Java
airbnb/javascript,https://github.com/airbnb/javascript,148110,JavaScript
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,146346,HTML
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,146175,Python
f/prompts.chat,https://github.com/f/prompts.chat,144764,HTML
langflow-ai/langflow,https://github.com/langflow-ai/langflow,144630,Python
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,142459,Python
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,139629,Python
vercel/next.js,https://github.com/vercel/next.js,137564,JavaScript
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,137483,TypeScript
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,135326,C
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,132494,Markdown
golang/go,https://github.com/golang/go,132328,Go
microsoft/PowerToys,https://github.com/microsoft/PowerToys,129103,C#
langgenius/dify,https://github.com/langgenius/dify,129005,TypeScript
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,126704,JavaScript
langchain-ai/langchain,https://github.com/langchain-ai/langchain,126175,Python
facebook/react-native,https://github.com/facebook/react-native,125310,C++
open-webui/open-webui,https://github.com/open-webui/open-webui,123244,Python
krahets/hello-algo,https://github.com/krahets/hello-algo,122174,Java
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,120344,Go
electron/electron,https://github.com/electron/electron,120032,C++
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,117805,HTML
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,116306,
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,116225,TypeScript
nodejs/node,https://github.com/nodejs/node,115597,JavaScript
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,113667,
d3/d3,https://github.com/d3/d3,112268,Shell
iptv-org/iptv,https://github.com/iptv-org/iptv,111186,TypeScript
mrdoob/three.js,https://github.com/mrdoob/three.js,110773,JavaScript
rust-lang/rust,https://github.com/rust-lang/rust,110108,Rust
axios/axios,https://github.com/axios/axios,108567,JavaScript
microsoft/TypeScript,https://github.com/microsoft/TypeScript,107713,TypeScript
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,107062,Rust
godotengine/godot,https://github.com/godotengine/godot,106438,C++
shadcn-ui/ui,https://github.com/shadcn-ui/ui,106250,TypeScript
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,106180,Jupyter Notebook
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,106167,
denoland/deno,https://github.com/denoland/deno,106079,Rust
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,106052,Java
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,105073,Dockerfile
fatedier/frp,https://github.com/fatedier/frp,104280,Go
facebook/create-react-app,https://github.com/facebook/create-react-app,103946,JavaScript
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,103064,Shell
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,102693,Python
tauri-apps/tauri,https://github.com/tauri-apps/tauri,102414,Rust
microsoft/terminal,https://github.com/microsoft/terminal,101737,C++
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,101473,Python
angular/angular,https://github.com/angular/angular,99813,TypeScript
anomalyco/opencode,https://github.com/anomalyco/opencode,99767,TypeScript
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,98578,JavaScript
mui/material-ui,https://github.com/mui/material-ui,97776,JavaScript
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,97751,Dockerfile
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,97732,
ant-design/ant-design,https://github.com/ant-design/ant-design,97462,TypeScript
supabase/supabase,https://github.com/supabase/supabase,97340,TypeScript
pytorch/pytorch,https://github.com/pytorch/pytorch,97230,Python
2dust/v2rayN,https://github.com/2dust/v2rayN,96412,C#
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,96339,TypeScript
neovim/neovim,https://github.com/neovim/neovim,96307,Vim Script
nvbn/thefuck,https://github.com/nvbn/thefuck,95421,Python
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,95258,JavaScript
fastapi/fastapi,https://github.com/fastapi/fastapi,94885,Python
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,94593,C++
openai/whisper,https://github.com/openai/whisper,94305,Python
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,94289,JavaScript
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,93883,TypeScript
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,93698,Java
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,93518,TypeScript
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,93413,TypeScript
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,92607,Python
immich-app/immich,https://github.com/immich-app/immich,91938,TypeScript
deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,91828,
nvm-sh/nvm,https://github.com/nvm-sh/nvm,91565,Shell
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,90299,Vue
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,90179,
storybookjs/storybook,https://github.com/storybookjs/storybook,89209,TypeScript
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,87995,C++
gin-gonic/gin,https://github.com/gin-gonic/gin,87920,Go
ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,87248,TypeScript
oven-sh/bun,https://github.com/oven-sh/bun,87154,Zig
django/django,https://github.com/django/django,86703,Python
microsoft/markitdown,https://github.com/microsoft/markitdown,86562,Python
gohugoio/hugo,https://github.com/gohugoio/hugo,86452,Go
opencv/opencv,https://github.com/opencv/opencv,86094,C++
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,85900,TypeScript
sveltejs/svelte,https://github.com/sveltejs/svelte,85712,JavaScript
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,84789,Jupyter Notebook
home-assistant/core,https://github.com/home-assistant/core,84669,Python
